Order_ID,Customer_Name,Company_Name,Service,City,Revenue
1058,Shravya Minhas,Chandran-Gopal,Website Development,Delhi,70819
1059,Nitesh Comar,Atwal and Sons,Content Marketing,Pune,242077
1060,Indrajit Sandhu,Thaman Ltd,Content Marketing,Kolkata,48401
1061,Siddharth Chatterjee,Sheth Group,Google Ads,Jaipur,231089
1062,Eiravati Kale,Deep PLC,Social Media Marketing,Delhi,150367
1063,Anamika Narasimhan,"Tiwari, Raman and Amble",Website Development,Bangalore,255202
1064,Amaira Menon,Pandit Inc,Meta Ads,Ahmedabad,116200
1065,Brinda Sangha,"Yohannan, Uppal and Dara",AI Chatbot Development,Kolkata,150970
1066,Arunima Oza,Kapur LLC,Google Ads,Kolkata,71332
1067,Wakeeta Deol,"Choudhury, Dugar and Andra",SEO,Jaipur,68896
1068,Gopal Ganguly,"Sangha, Uppal and Kala",Website Development,Mumbai,233078
1069,Hamsini Wali,"Choudhury, Manda and Sama",Email Marketing,Kolkata,132065
1070,Liam Gokhale,"Trivedi, Mittal and Sandhu",Content Marketing,Jaipur,106317
1071,Siya Dutta,Dhawan-Dyal,Content Marketing,Jaipur,224693
1072,Urishilla Prabhakar,"Bala, Suri and Pandey",AI Chatbot Development,Kolkata,169552
1073,Qasim Ahuja,"Som, Edwin and Narain",Content Marketing,Kolkata,101158
1074,Siya Raghavan,Sahota-Mitter,Website Development,Hyderabad,134137
1075,Krishna Mane,Puri and Sons,SEO,Jaipur,184419
1076,Urvi Lala,Bhargava PLC,SEO,Jaipur,269974
1077,Hemang Panchal,Iyer Ltd,Meta Ads,Jaipur,286248
1078,Eiravati Varghese,Lal-Mitter,Google Ads,Mumbai,55924
1079,Kala Bal,"Jha, D’Alia and Devan",Google Ads,Bangalore,231694
1080,Agastya Sood,Bera and Sons,Google Ads,Bangalore,40836
1081,Wridesh Bassi,"Bala, Pal and Johal",Google Ads,Ahmedabad,294088
1082,Naksh Merchant,"Balan, Chowdhury and Brahmbhatt",Social Media Marketing,Hyderabad,127090
1083,Raksha Deo,Contractor PLC,Social Media Marketing,Bangalore,159258
1084,Hemal Halder,Parmar LLC,Content Marketing,Mumbai,177284
1085,Libni Sane,"Yogi, Hayer and Dass",Email Marketing,Pune,58033
1086,Jagvi Chand,Andra-Saini,SEO,Kolkata,72418
1087,Chavvi Pau,Ranganathan LLC,Google Ads,Bangalore,285229
1088,Rachana Hegde,Krishnan-Karnik,AI Chatbot Development,Mumbai,202981
1089,Kiaan Magar,Kalita-Koshy,Google Ads,Bangalore,213738
1090,Daksh Issac,Basak-Raj,AI Chatbot Development,Mumbai,249734
1091,Shravya Sarin,"Narain, Wagle and Sarin",AI Chatbot Development,Jaipur,176960
1092,Dev Rai,"Bora, Contractor and Natarajan",Google Ads,Mumbai,158656
1093,Upma Sampath,"Sabharwal, Mand and Bose",Google Ads,Delhi,101499
1094,Kamya Kunda,Ghose and Sons,AI Chatbot Development,Hyderabad,130430
1095,Vasana Raghavan,"Bedi, Parekh and Aggarwal",Social Media Marketing,Bangalore,158403
1096,Zayan Chawla,Vasa-Kalita,Email Marketing,Hyderabad,46633
1097,Shivansh Balasubramanian,"Borah, Patil and Ray",Google Ads,Ahmedabad,165060
1098,Brijesh Tiwari,Kala LLC,SEO,Jaipur,194879
1099,Dhriti Choudhury,"Sandhu, Wable and Desai",Meta Ads,Hyderabad,104715
1100,Eesha Kakar,Dhaliwal-Randhawa,Email Marketing,Ahmedabad,25069
1101,Gavin Hans,Choudhry Ltd,Google Ads,Delhi,98147
1102,Samuel Setty,De-Vora,SEO,Pune,97643
1103,Chameli Badal,Grover LLC,Content Marketing,Mumbai,41930
1104,Indrajit Nigam,Lalla PLC,AI Chatbot Development,Pune,40916
1105,Brinda Kalla,Ganesh LLC,Social Media Marketing,Bangalore,150825
1106,Bakhshi Narang,Sidhu-Pillai,Google Ads,Pune,233058
1107,Vasana Iyengar,Ravel LLC,Meta Ads,Bangalore,105197
1108,Tanay Dash,Date LLC,Meta Ads,Ahmedabad,32995
1109,Aashi Keer,"Gokhale, Nagi and Natarajan",Meta Ads,Pune,235856
1110,Idika Yohannan,"Ramakrishnan, Mody and Hayre",Website Development,Hyderabad,103465
1111,Dakshesh Loyal,Lal-Chahal,Google Ads,Ahmedabad,40302
1112,Ayush Din,Madan-Dash,Email Marketing,Bangalore,124633
1113,Zashil Bhakta,Manne LLC,Email Marketing,Pune,180007
1114,Chaaya Devan,"Warrior, Chadha and Batta",Website Development,Bangalore,32406
1115,Ishani Sheth,"Sunder, Krish and Kadakia",Website Development,Ahmedabad,192103
1116,Aadhya Bera,"Sethi, Raman and Wali",AI Chatbot Development,Delhi,166341
1117,Pallavi Issac,"Chokshi, Prashad and Nadig",Social Media Marketing,Ahmedabad,193617
1118,Charles Suresh,Narula and Sons,SEO,Delhi,156951
1119,Kavya Pandit,Narang LLC,Meta Ads,Hyderabad,40057
1120,Zarna Krishnan,Varughese-Oza,Google Ads,Ahmedabad,201239
1121,Chandani Goel,Dutta-Borah,Social Media Marketing,Ahmedabad,288132
1122,Mohammed Brahmbhatt,Soni Group,Google Ads,Ahmedabad,119656
1123,Vansha Kala,Vasa LLC,AI Chatbot Development,Jaipur,248619
1124,Ati Sha,Barman-Gera,SEO,Bangalore,210956
1125,Rachana Konda,"Rajan, Master and Subramaniam",Content Marketing,Delhi,193119
1126,Devika Andra,"Arya, Batra and Pai",Social Media Marketing,Delhi,177455
1127,Mitali Khanna,Ganesan Ltd,AI Chatbot Development,Ahmedabad,191013
1128,Raagini Varughese,Misra-Khare,Content Marketing,Hyderabad,86735
1129,Vedika Chacko,"Buch, Kapoor and Bir",Website Development,Ahmedabad,218781
1130,Luke Chacko,Wagle Inc,Meta Ads,Hyderabad,232900
1131,Kashvi Ganesan,Rout LLC,SEO,Hyderabad,170425
1132,Daksh Sachdeva,"Varughese, Saran and Seth",Website Development,Ahmedabad,188951
1133,Vedika Oommen,"Arora, Mangal and Ramachandran",Email Marketing,Kolkata,251819
1134,Thomas Reddy,"Vala, Seshadri and Warrior",Website Development,Kolkata,108967
1135,Brijesh Dora,"Rama, Dara and Keer",Google Ads,Hyderabad,290245
1136,Krishna Mani,Patel and Sons,Social Media Marketing,Delhi,143138
1137,Amol Rau,Bhattacharyya and Sons,AI Chatbot Development,Bangalore,124401
1138,Chatura Mahajan,Jha and Sons,Meta Ads,Jaipur,44229
1139,Lipika Murthy,Sawhney Group,Website Development,Kolkata,58182
1140,Yamini Dar,Pingle-Shere,Email Marketing,Ahmedabad,121940
1141,Waida Kanda,Rattan-Luthra,Content Marketing,Kolkata,229533
1142,Alexander Varughese,"Tata, Gill and Ravel",Website Development,Mumbai,22907
1143,Hemang Buch,Dyal and Sons,Google Ads,Ahmedabad,134735
1144,Falan Bhagat,"Samra, More and Jani",Meta Ads,Kolkata,46328
1145,Amrita Lalla,Saraf-Dass,Website Development,Delhi,259317
1146,Naksh Swaminathan,De PLC,Meta Ads,Kolkata,298466
1147,Fiyaz Dada,Chhabra-Mody,Social Media Marketing,Kolkata,284649
1148,David Patla,Srinivas-Bath,Content Marketing,Kolkata,103444
1149,Daksha Raval,"Parikh, Pingle and Rao",Email Marketing,Kolkata,155891
1150,Rehaan Gara,"Virk, Ghosh and Pandya",Website Development,Hyderabad,293311
1151,Parth Master,Kurian-Pradhan,Email Marketing,Bangalore,163968
1152,Zaitra Chokshi,Bir and Sons,Email Marketing,Delhi,169803
1153,Sanya Memon,"Iyengar, Chahal and Padmanabhan",Website Development,Hyderabad,196080
1154,Quincy Keer,Modi-More,Social Media Marketing,Delhi,92547
1155,Balhaar Suri,Kale Group,Meta Ads,Bangalore,220820
1156,Rachit Chakraborty,Parikh-Din,Meta Ads,Bangalore,53674
1157,Abhimanyu Murty,Kamdar PLC,Content Marketing,Ahmedabad,193477
1158,Nachiket Garde,"Borah, Thaker and Chaudhari",Email Marketing,Ahmedabad,52645
1159,Kamya Sunder,Lanka PLC,Website Development,Ahmedabad,224198
1160,Vamakshi Bath,Grewal LLC,SEO,Ahmedabad,270074
1161,Aachal Mitra,Jaggi and Sons,SEO,Pune,176559
1162,Nathan Mohanty,Sampath and Sons,Content Marketing,Ahmedabad,135625
1163,Abha Basak,"Chaudhary, Reddy and Ratti",Email Marketing,Bangalore,163096
1164,Jai Vasa,Nori and Sons,Content Marketing,Kolkata,35217
1165,Robert Srinivasan,"Bal, Kaur and Bhakta",Content Marketing,Pune,231978
1166,Barkha Hegde,"Bhatnagar, Chand and Anand",Meta Ads,Kolkata,86913
1167,Mason Soni,Desai-Wason,SEO,Ahmedabad,34209
1168,Orinder Raju,Malhotra-Vyas,Google Ads,Ahmedabad,91145
1169,Nisha Suri,"Viswanathan, Chowdhury and Pant",Email Marketing,Mumbai,46363
1170,Omaja Kanda,Bhagat-Tiwari,AI Chatbot Development,Ahmedabad,191627
1171,Avi Sanghvi,"Goswami, Merchant and Bhardwaj",Website Development,Kolkata,191361
1172,Yochana De,Randhawa-Lad,Social Media Marketing,Ahmedabad,165886
1173,Girik Ganesan,Chad Group,Content Marketing,Hyderabad,62942
1174,Girik Boase,"Kar, Dash and Khanna",Email Marketing,Jaipur,47307
1175,Ijaya Sathe,Chaudhari PLC,Social Media Marketing,Bangalore,55975
1176,Urvashi Bhasin,"Bali, Grewal and Borra",SEO,Jaipur,149647
1177,Bakhshi Kadakia,Savant and Sons,Website Development,Jaipur,99892
1178,Eiravati Mistry,"Puri, Kapoor and Brahmbhatt",Website Development,Mumbai,268282
1179,Ranbir Rana,Sunder-Bhandari,Google Ads,Bangalore,263811
1180,Ryan Keer,Aggarwal Group,AI Chatbot Development,Pune,107969
1181,Panini Naidu,Goda-Lala,Google Ads,Mumbai,183073
1182,Tanmayi Sani,"Mukherjee, Doshi and Dhar",Google Ads,Jaipur,183555
1183,Arunima Khalsa,"Bassi, Bhasin and Wadhwa",Content Marketing,Ahmedabad,123981
1184,Chaitanya Bala,"Chand, Sama and Misra",Google Ads,Bangalore,73425
1185,Vansha Narain,"Nagi, Sachdev and Balay",AI Chatbot Development,Delhi,41532
1186,Aishani Mangal,"Muni, Pandya and Deol",Social Media Marketing,Ahmedabad,214285
1187,Vanya Thaman,Menon-Aggarwal,Google Ads,Pune,26633
1188,Nitesh Natarajan,"Kumer, Ravel and Shankar",Content Marketing,Kolkata,75332
1189,Anamika Agate,Dhar Ltd,Content Marketing,Pune,261035
1190,Onveer Mann,"Dora, Mangal and Subramaniam",Meta Ads,Ahmedabad,112346
1191,Abhimanyu Srivastava,Dhillon-Sidhu,AI Chatbot Development,Kolkata,263727
1192,Nachiket Das,"Bakshi, Bhardwaj and Lala",Content Marketing,Hyderabad,188980
1193,Brijesh Hayre,Shere-Batra,Website Development,Delhi,166238
1194,William Jaggi,"Mann, Salvi and Sekhon",Email Marketing,Bangalore,263641
1195,Frado Padmanabhan,"Grover, Kuruvilla and Doctor",Content Marketing,Pune,35047
1196,Amruta Kari,Mitter Group,Email Marketing,Pune,115336
1197,Zarna Goda,Ganguly-Walla,Email Marketing,Bangalore,206030
1198,Yagnesh Sarin,Sarraf LLC,AI Chatbot Development,Pune,166621
1199,Dhriti Mistry,Cheema-Misra,AI Chatbot Development,Jaipur,290861
1200,Jai Kala,Misra-Boase,Website Development,Delhi,146540
1201,Bhavya Pradhan,Contractor Group,Content Marketing,Kolkata,145998
1202,Agastya Sheth,Venkatesh Inc,Email Marketing,Kolkata,254972
1203,Urvashi Garg,"Sathe, Kala and Chowdhury",SEO,Delhi,174264
1204,Dhruv Bhalla,Khanna-Anand,Website Development,Ahmedabad,147561
1205,Lohit Mishra,Bhalla Ltd,AI Chatbot Development,Pune,268124
1206,Ekani Majumdar,"Boase, Andra and Iyer",Social Media Marketing,Ahmedabad,193429
1207,Vivaan Chad,"Barad, D’Alia and Sarin",Social Media Marketing,Kolkata,162038
1208,Lakshit Randhawa,Gour-Sastry,AI Chatbot Development,Hyderabad,140868
1209,Chaman Anne,Pant-Mand,Google Ads,Bangalore,185438
1210,Ishanvi Lalla,Dora Inc,Google Ads,Mumbai,120422
1211,Ekiya Narayan,Zacharia-Sharaf,Website Development,Kolkata,164965
1212,Lakshmi Dey,Chandra-Varghese,AI Chatbot Development,Delhi,121773
1213,Faras Jani,Mody-Kalla,AI Chatbot Development,Bangalore,209205
1214,Urishilla Parsa,Basu-Rajagopal,Meta Ads,Hyderabad,27417
1215,Thomas Barman,Bath-Andra,Meta Ads,Hyderabad,43863
1216,Timothy Iyer,Mangal LLC,SEO,Hyderabad,86206
1217,Vritti Ramanathan,"De, Talwar and Bir",Email Marketing,Delhi,26430
1218,Arjun Narayanan,Basak-Ahluwalia,AI Chatbot Development,Kolkata,270984
1219,Vihaan Saraf,Yohannan Inc,Email Marketing,Pune,116659
1220,Bhavini Gaba,Badal-Prabhu,SEO,Hyderabad,270467
1221,Sai Sarin,Kumer-Kadakia,Google Ads,Delhi,230086
1222,Chatura Shroff,"Sarkar, Basak and Karpe",Email Marketing,Delhi,48106
1223,Frado Loke,"Kuruvilla, Bahl and Sethi",Meta Ads,Mumbai,179297
1224,Hema Sarin,Krishnamurthy-Tandon,Google Ads,Bangalore,82102
1225,Daksha Kar,Choudhry-Dugal,Content Marketing,Bangalore,293978
1226,Shaurya Parmer,"Bath, Kibe and Parsa",Content Marketing,Kolkata,252113
1227,Rohan Rajagopal,Lad PLC,AI Chatbot Development,Ahmedabad,180107
1228,Rajeshri Saran,"Subramaniam, Bhagat and Chacko",SEO,Delhi,128940
1229,Faras Arora,Merchant-Raju,Website Development,Hyderabad,62565
1230,Lopa Saha,"Korpal, Saha and Gade",Meta Ads,Bangalore,111128
1231,Charita Kala,"Subramaniam, Pant and Memon",Google Ads,Mumbai,21402
1232,Praneel Chandran,"Taneja, Dhawan and Tara",Content Marketing,Kolkata,266369
1233,Arunima Mander,Chahal Group,AI Chatbot Development,Jaipur,141360
1234,Harsh Hora,Sachdev-Bajwa,AI Chatbot Development,Hyderabad,258043
1235,Falak Aurora,Lata-Goswami,Google Ads,Bangalore,158702
1236,Alka Kulkarni,Sarna LLC,Website Development,Ahmedabad,80175
1237,Rachita Ravel,"Sharaf, Chana and Ghosh",Website Development,Mumbai,159267
1238,Warjas Rana,Raghavan and Sons,Meta Ads,Delhi,51267
1239,Upma Dhillon,Shukla LLC,Meta Ads,Hyderabad,171315
1240,Aadi Mander,Gandhi Group,Email Marketing,Delhi,265732
1241,Dhriti Dhaliwal,Kuruvilla LLC,AI Chatbot Development,Ahmedabad,162735
1242,Raksha Toor,Malhotra-Lanka,Email Marketing,Kolkata,62174
1243,Kamala Gola,"Shetty, Cherian and Chatterjee",SEO,Ahmedabad,188989
1244,Fiyaz Borah,"Gopal, Roy and Padmanabhan",AI Chatbot Development,Jaipur,67881
1245,Brinda Sheth,Kadakia-Tiwari,Website Development,Jaipur,161301
1246,Harsh Hayre,Sangha-Parekh,SEO,Mumbai,266677
1247,Veer Tata,"Bhat, Bahri and Ravel",Email Marketing,Hyderabad,115152
1248,Jeet Patla,"Lala, Sawhney and Dugar",Content Marketing,Kolkata,67837
1249,Ati Balasubramanian,"Narayan, Ramanathan and Barman",Email Marketing,Pune,234092
1250,Jonathan Narang,Venkatesh-Nigam,Social Media Marketing,Pune,74840
1251,Zilmil Seth,Pandit-Tiwari,Meta Ads,Pune,235820
1252,Yatan D’Alia,Sachdev-Kanda,Email Marketing,Hyderabad,229952
1253,Azaan Kapadia,Bhatti-Krish,SEO,Kolkata,66168
1254,Darpan Jaggi,Tandon Inc,Social Media Marketing,Hyderabad,189488
1255,Isaiah Balasubramanian,Bajwa-Madan,Google Ads,Ahmedabad,289796
1256,Zayan Tata,Gaba Inc,SEO,Kolkata,236660
1257,Chaitanya Walia,Deol-Saraf,SEO,Bangalore,291811
1258,Darika Saha,Kapadia-Sathe,Social Media Marketing,Kolkata,251756
1259,Rachita Kulkarni,Kara-Baria,SEO,Bangalore,160014
1260,Faris Toor,Dhaliwal PLC,Meta Ads,Hyderabad,249699
1261,Devansh Bawa,"Deo, Sodhi and Patla",Email Marketing,Delhi,35135
1262,Ojasvi Sekhon,Nagarajan-Minhas,Website Development,Mumbai,182922
1263,Kritika Shanker,"Sampath, Walia and Mistry",SEO,Ahmedabad,68868
1264,Praneel Morar,Devi and Sons,Website Development,Delhi,261931
1265,Nandini Ganesh,"Prakash, Khanna and Mandal",Google Ads,Mumbai,281292
1266,Jagat Vora,"Ganesh, Ganesan and Desai",AI Chatbot Development,Hyderabad,237836
1267,Jairaj Bail,Chana-Wali,Email Marketing,Kolkata,147785
1268,Vaishnavi Trivedi,Sampath-Jayaraman,Email Marketing,Mumbai,221109
1269,Ijaya Jha,Mammen Inc,Website Development,Mumbai,56600
1270,Dominic Chhabra,"Singhal, Gala and Raj",AI Chatbot Development,Ahmedabad,198192
1271,Harita Sanghvi,Garg-Som,AI Chatbot Development,Jaipur,168289
1272,Aishani Puri,Das-Varughese,AI Chatbot Development,Kolkata,97906
1273,Sanaya Lala,"Basu, Vora and Walia",Email Marketing,Kolkata,200944
1274,Nisha Ganesan,Bobal-Mangal,Social Media Marketing,Ahmedabad,258731
1275,Ubika Garg,Jhaveri Ltd,Social Media Marketing,Bangalore,145202
1276,Fariq Virk,"Sami, Bhatti and Nazareth",Content Marketing,Bangalore,235364
1277,Manbir Nath,Badami and Sons,SEO,Pune,267975
1278,Aarush Thakur,Iyer Ltd,Content Marketing,Ahmedabad,99746
1279,Frederick Jaggi,"Gaba, Goel and Bose",Email Marketing,Jaipur,86189
1280,Edhitha Konda,Aggarwal-Mallick,Social Media Marketing,Delhi,250847
1281,Aarav Radhakrishnan,"Kalita, Lad and Tripathi",Google Ads,Kolkata,28046
1282,Avni Tak,"Dani, Mallick and Raghavan",Meta Ads,Ahmedabad,100929
1283,Benjamin Rout,"Wable, Mandal and Bawa",Google Ads,Kolkata,158948
1284,Megha Cherian,Hegde Ltd,Social Media Marketing,Ahmedabad,62108
1285,Chaman Kashyap,Kanda Group,Social Media Marketing,Ahmedabad,186021
1286,Maya Sidhu,Dubey Ltd,Email Marketing,Jaipur,55872
1287,Chakrika Suri,"Krishna, Ramachandran and Narain",Website Development,Hyderabad,139268
1288,Kashish Walla,Mangat PLC,Google Ads,Ahmedabad,71612
1289,Pavani Tailor,Parikh Inc,Google Ads,Kolkata,107223
1290,Gauri Parmar,Pingle Group,AI Chatbot Development,Jaipur,44112
1291,Netra Kata,Handa Inc,Social Media Marketing,Jaipur,173809
1292,Reyansh Morar,"Kulkarni, Nazareth and Kale",Social Media Marketing,Pune,245803
1293,Yug Kumar,Kuruvilla-Sane,Meta Ads,Bangalore,298484
1294,Jalsa Naik,Sankar-Sampath,Content Marketing,Mumbai,109120
1295,Libni Mittal,Solanki Inc,Meta Ads,Delhi,220563
1296,Jagvi Raval,"Aurora, Dayal and Sheth",Website Development,Kolkata,95034
1297,Omya Wali,Ranganathan LLC,Website Development,Kolkata,153157
1298,Ekaja Chandran,"Garg, Mand and Mangat",Email Marketing,Hyderabad,24926
1299,Janani Choudhary,"Gole, Parikh and Bahl",Email Marketing,Hyderabad,102824
1300,Anamika Bhat,Som and Sons,Google Ads,Kolkata,201175
1301,Oviya Varma,Kara-Shukla,AI Chatbot Development,Ahmedabad,151123
1302,Ekiya Bajwa,Hora LLC,Email Marketing,Hyderabad,124447
1303,Yatan Keer,Bhavsar-Wadhwa,Content Marketing,Kolkata,75917
1304,Ekaraj Menon,Sant Group,Website Development,Ahmedabad,208197
1305,Jackson Bhardwaj,Dutta-Chaudry,AI Chatbot Development,Hyderabad,31502
1306,Chameli Modi,"Ramanathan, Mukherjee and Karpe",Content Marketing,Hyderabad,24245
1307,Ijaya Konda,"Dhar, Dhar and Dalal",SEO,Kolkata,170048
1308,Nilima Bath,"Bhandari, Swaminathan and Karpe",Website Development,Pune,134821
1309,Gunbir Biswas,Raj Inc,Website Development,Hyderabad,91711
1310,Gabriel Palla,Hans-Dhingra,Google Ads,Jaipur,181969
1311,Balhaar Bhakta,Johal-Dey,Email Marketing,Jaipur,211292
1312,Zilmil Walia,Puri PLC,Meta Ads,Delhi,174722
1313,Mohammed Srivastava,"Kant, Nori and Sheth",Social Media Marketing,Ahmedabad,112085
1314,Orinder Ben,"Sarma, Suri and Chaudry",Website Development,Mumbai,211814
1315,Maanav More,Nayak Group,AI Chatbot Development,Mumbai,154726
1316,Kavya Kumar,Kashyap and Sons,Email Marketing,Hyderabad,197584
1317,Anay Apte,"Bath, Babu and Chauhan",Google Ads,Kolkata,59478
1318,Anay Madan,Vig-Jaggi,Meta Ads,Bangalore,228358
1319,Jalsa Subramaniam,Panchal-Babu,Social Media Marketing,Delhi,226870
1320,Meera Garde,Chauhan-Bir,SEO,Hyderabad,84796
1321,Bhavani Pingle,Gulati PLC,Email Marketing,Pune,157448
1322,Max Rao,Sangha Inc,Content Marketing,Pune,76804
1323,Raghav Sahota,Bala-Ratta,Website Development,Kolkata,33120
1324,Eta Kunda,Ratti PLC,Social Media Marketing,Bangalore,53143
1325,Anita Thakur,Mital PLC,Email Marketing,Hyderabad,234064
1326,Ati Iyer,"Parmar, Gopal and Krishna",Google Ads,Mumbai,43774
1327,Geetika Mallick,More-Kala,SEO,Hyderabad,278277
1328,Gaurangi Ranganathan,Atwal LLC,Google Ads,Delhi,143102
1329,Mekhala Wable,Andra Group,Meta Ads,Ahmedabad,257839
1330,Nitara Nori,Mahajan and Sons,Social Media Marketing,Ahmedabad,101014
1331,Timothy Yogi,"Thaman, Agrawal and Viswanathan",Content Marketing,Delhi,276558
1332,Udyati Iyengar,"Tripathi, Babu and Butala",Content Marketing,Hyderabad,37152
1333,Rishi Panchal,Barman-Khatri,Social Media Marketing,Bangalore,252460
1334,Pahal Das,Parsa-Raval,Email Marketing,Bangalore,210151
1335,Alexander Bajwa,Sarma-Desai,Google Ads,Pune,208048
1336,Jai Mallick,Ramanathan-Sankaran,SEO,Ahmedabad,164641
1337,Jalsa Narayan,Subramanian-Rajan,Website Development,Delhi,258402
1338,Lila Mahajan,Narang-Samra,Google Ads,Bangalore,31197
1339,Jatin Kohli,Kanda Ltd,SEO,Pune,147700
1340,Advik Raja,"Saini, Karan and Yogi",Meta Ads,Bangalore,55971
1341,Dalaja Chokshi,Kala Ltd,Website Development,Bangalore,142158
1342,Bahadurjit Sangha,"Bhagat, Dixit and Kakar",Social Media Marketing,Mumbai,21486
1343,Leena Buch,Chandra-Jani,AI Chatbot Development,Mumbai,88153
1344,William Sood,Sarraf-Sule,AI Chatbot Development,Mumbai,77633
1345,Ansh Nath,Chatterjee Ltd,SEO,Mumbai,27791
1346,Praneel Batta,Deshpande Inc,Social Media Marketing,Bangalore,189749
1347,Oni Behl,Chandra PLC,SEO,Mumbai,159129
1348,Omisha Vala,Nadkarni and Sons,SEO,Mumbai,240704
1349,Yasti Rajagopalan,Sule-Sathe,Google Ads,Delhi,269690
1350,Vrishti Kurian,Mutti-Dara,Email Marketing,Pune,289084
1351,Vrinda Swamy,"Rao, Oak and Sarkar",Google Ads,Kolkata,284156
1352,Wahab Kala,Ramakrishnan Ltd,Website Development,Jaipur,293390
1353,Oeshi Mannan,"Jha, Chaudhuri and Dani",AI Chatbot Development,Kolkata,36331
1354,Netra Sabharwal,Chandran and Sons,SEO,Kolkata,230563
1355,Isaac Lalla,Gole-Thakur,Content Marketing,Delhi,277042
